0.79464850	-0.02334071
0.80447200	-0.02265900
0.81428950	-0.02193585
0.82410700	-0.02117500
0.83391850	-0.02037047
0.84373000	-0.01952700
0.85353400	-0.01863944
0.86333800	-0.01771200
0.87313350	-0.01673906
0.88292900	-0.01572500
0.89271550	-0.01466406
0.90250200	-0.01356100
0.91227750	-0.01241070
0.92205300	-0.01121800
0.93181750	-0.00997840
0.94158200	-0.00869200
0.95133400	-0.00735659
0.96108600	-0.00598100
0.97082500	-0.00455345
0.98056400	-0.00308400
0.98542300	-0.00233190
0.99028200	-0.00156653
0.99514100	-0.00078945
1.00000000	0.00000000
