  1.000000  0.001575
  0.999315  0.001695
  0.997261  0.002055
  0.993844  0.002651
  0.989074  0.003478
  0.982963  0.004532
  0.975528  0.005803
  0.966790  0.007283
  0.956773  0.008960
  0.945503  0.010822
  0.933013  0.012858
  0.919335  0.015053
  0.904508  0.017393
  0.888573  0.019863
  0.871572  0.022449
  0.853553  0.025134
  0.834565  0.027904
  0.814660  0.030741
  0.793893  0.033631
  0.772320  0.036558
  0.750000  0.039504
  0.726995  0.042453
  0.703368  0.045388
  0.679184  0.048292
  0.654508  0.051147
  0.629410  0.053934
  0.603956  0.056634
  0.578217  0.059229
  0.552264  0.061697
  0.526168  0.064020
  0.500000  0.066175
  0.500000 -0.066175
  0.526168 -0.064020
  0.552264 -0.061697
  0.578217 -0.059229
  0.603956 -0.056634
  0.629410 -0.053934
  0.654508 -0.051147
  0.679184 -0.048292
  0.703368 -0.045388
  0.726995 -0.042453
  0.750000 -0.039504
  0.772320 -0.036558
  0.793893 -0.033631
  0.814660 -0.030741
  0.834565 -0.027904
  0.853553 -0.025134
  0.871572 -0.022449
  0.888573 -0.019863
  0.904508 -0.017393
  0.919335 -0.015053
  0.933013 -0.012858
  0.945503 -0.010822
  0.956773 -0.008960
  0.966790 -0.007283
  0.975528 -0.005803
  0.982963 -0.004532
  0.989074 -0.003478
  0.993844 -0.002651
  0.997261 -0.002055
  0.999315 -0.001695
  1.000000 -0.001575
